bbl,address,office_sqft,total_gross_floor_area,office_pct_of_building,elec_tariff,Office_Gas_Usage_Current_Jan_kBtu,Office_Gas_Cost_Current_Jan_USD,Office_Gas_Usage_Current_Feb_kBtu,Office_Gas_Cost_Current_Feb_USD,Office_Gas_Usage_Current_Mar_kBtu,Office_Gas_Cost_Current_Mar_USD,Office_Gas_Usage_Current_Apr_kBtu,Office_Gas_Cost_Current_Apr_USD,Office_Gas_Usage_Current_May_kBtu,Office_Gas_Cost_Current_May_USD,Office_Gas_Usage_Current_Jun_kBtu,Office_Gas_Cost_Current_Jun_USD,Office_Gas_Usage_Current_Jul_kBtu,Office_Gas_Cost_Current_Jul_USD,Office_Gas_Usage_Current_Aug_kBtu,Office_Gas_Cost_Current_Aug_USD,Office_Gas_Usage_Current_Sep_kBtu,Office_Gas_Cost_Current_Sep_USD,Office_Gas_Usage_Current_Oct_kBtu,Office_Gas_Cost_Current_Oct_USD,Office_Gas_Usage_Current_Nov_kBtu,Office_Gas_Cost_Current_Nov_USD,Office_Gas_Usage_Current_Dec_kBtu,Office_Gas_Cost_Current_Dec_USD,Office_Steam_Usage_Current_Jan_kBtu,Office_Steam_Cost_Current_Jan_USD,Office_Steam_Usage_Current_Feb_kBtu,Office_Steam_Cost_Current_Feb_USD,Office_Steam_Usage_Current_Mar_kBtu,Office_Steam_Cost_Current_Mar_USD,Office_Steam_Usage_Current_Apr_kBtu,Office_Steam_Cost_Current_Apr_USD,Office_Steam_Usage_Current_May_kBtu,Office_Steam_Cost_Current_May_USD,Office_Steam_Usage_Current_Jun_kBtu,Office_Steam_Cost_Current_Jun_USD,Office_Steam_Usage_Current_Jul_kBtu,Office_Steam_Cost_Current_Jul_USD,Office_Steam_Usage_Current_Aug_kBtu,Office_Steam_Cost_Current_Aug_USD,Office_Steam_Usage_Current_Sep_kBtu,Office_Steam_Cost_Current_Sep_USD,Office_Steam_Usage_Current_Oct_kBtu,Office_Steam_Cost_Current_Oct_USD,Office_Steam_Usage_Current_Nov_kBtu,Office_Steam_Cost_Current_Nov_USD,Office_Steam_Usage_Current_Dec_kBtu,Office_Steam_Cost_Current_Dec_USD,Office_Elec_Usage_Current_Jan_kBtu,Office_Elec_Cost_Current_Jan_USD,Office_Elec_Usage_Current_Feb_kBtu,Office_Elec_Cost_Current_Feb_USD,Office_Elec_Usage_Current_Mar_kBtu,Office_Elec_Cost_Current_Mar_USD,Office_Elec_Usage_Current_Apr_kBtu,Office_Elec_Cost_Current_Apr_USD,Office_Elec_Usage_Current_May_kBtu,Office_Elec_Cost_Current_May_USD,Office_Elec_Usage_Current_Jun_kBtu,Office_Elec_Cost_Current_Jun_USD,Office_Elec_Usage_Current_Jul_kBtu,Office_Elec_Cost_Current_Jul_USD,Office_Elec_Usage_Current_Aug_kBtu,Office_Elec_Cost_Current_Aug_USD,Office_Elec_Usage_Current_Sep_kBtu,Office_Elec_Cost_Current_Sep_USD,Office_Elec_Usage_Current_Oct_kBtu,Office_Elec_Cost_Current_Oct_USD,Office_Elec_Usage_Current_Nov_kBtu,Office_Elec_Cost_Current_Nov_USD,Office_Elec_Usage_Current_Dec_kBtu,Office_Elec_Cost_Current_Dec_USD
1000250001,"55 Broad St, New York, NY 10004",400143,406025,0.986,SC9 Rate I (Standard),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2508509,142863.16,2341275,133338.94,2006807,114290.52,1337871,76193.66,668936,38096.86,334468,19048.43,334468,19048.43,334468,19048.43,501702,28572.64,1003404,57145.29,1672339,95242.09,2341275,133338.94,1338018,43944.49,1263684,43543.05,1189350,37030.3,1115015,35081.57,1115015,37380.4,1189350,45918.44,1338018,52061.1,1338018,53433.03,1189350,47064.74,1189350,38627.56,1263684,42189.2,1338018,41680.97
1000290036,"1 William St, New York, NY 10004",49250,105000,0.5,SC9 Rate I (Standard),533,15.98,454,13.99,546,16.31,54,3.87,518,15.61,3626,94.24,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,212404,7397.87,197152,7216.57,218104,7200.18,206762,6913.83,227753,8034.38,240431,9682.68,271538,10965.03,277204,11467.59,244136,10059.46,223834,7676.77,181403,6485.81,172578,5812.84
1000290070,"75 Broad St, New York, NY 10004",653245,671172,0.973,SC9 Rate II (Large TOD),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2366417,134770.82,2208656,125786.1,1893133,107816.62,1262089,71877.77,788806,44923.62,315522,17969.43,157761,8984.71,157761,8984.71,315522,17969.43,946567,53908.34,1893133,107816.62,3470745,197663.87,3938421,128374.81,3731136,127585.38,3523850,108730.37,3109280,96929.9,2901994,96484.37,3316565,127149.01,3731136,144278.24,3731136,148103.96,3316565,130345.56,3109280,100173.25,3316565,109911.73,3731136,115332.68
1000290073,"44 Beaver St, New York, NY 10004",97596,97596,1,SC9 Rate I (Standard),9084,232.33,8419,215.5,8452,216.34,4677,120.83,3565,92.69,3252,84.78,3534,91.91,3368,87.71,3175,82.83,3861,100.18,7103,182.21,8641,221.12,810128,46137.94,756120,43062.11,648103,36910.39,432068,24606.89,216034,12303.44,108017,6151.72,108017,6151.72,108017,6151.72,162026,9227.61,324051,18455.17,540086,30758.67,756120,43062.11,319240,10866.64,301505,10770.87,301505,9761.7,283769,9302.06,283769,9887.1,301505,12014.88,319240,12803.19,319240,13130.52,301505,12305.47,283769,9598.06,283769,9862.76,301505,9780.76
1000330001,"77 Water St, New York, NY 10005",372360.87,546882,0.681,SC9 Rate I (Standard),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2905691,103913.74,2711978,96986.15,2324552,83130.96,1549702,55420.67,968564,34637.93,387425,13855.15,193713,6927.59,193713,6927.59,387425,13855.15,1162276,41565.48,2324552,83130.96,4261680,152406.81,867614,28671.34,782413,27150.78,872992,27313.92,864334,27307.17,893247,30045.47,883422,34236.16,936400,36585.03,946283,37936.13,833807,33145.18,790597,25845.05,737363,24826.38,744621,23418.3
1000390012,"110 Maiden Lane, New York, NY 10005",1069367,1049691,1,SC9 Rate II (Large TOD),1272134,26112.08,1249513,25648.35,1109579,22779.7,851767,17494.56,854631,17553.27,733077,15061.41,715616,14703.46,721191,14817.75,738238,15167.21,795840,16348.05,1057853,21719.32,1212387,24887.27,4800308,171669.31,3013932,107784.67,2139938,76528.77,889443,31808.39,2096081,74960.35,4366044,156139.09,6278008,224515.03,6398665,228829.98,3954265,141412.99,1752181,62661.75,1287431,46041.29,1847807,66081.54,2090874,68388.35,2123629,72833.09,1869776,57928.39,1725107,54002.41,1924368,64149.59,1872505,72005.63,2445722,94745.7,2167302,86239.22,2107251,83000.72,1711971,55380.81,1918117,63778.3,1642499,51051.81
1000400003,"60 Wall St, New York, NY 10005",1374625.1,1625483,0.846,SC9 Rate II (Large TOD),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,669096,38105.97,624489,35565.54,535276,30484.73,356851,20323.17,223032,12701.99,89213,5080.81,44606,2540.38,44606,2540.38,89213,5080.81,267638,15242.37,535276,30484.73,981340,55888.71,1307454,42952.13,1135312,39170.65,1119654,34889.71,737840,23384.2,736459,24859.73,713301,27739.86,814755,31897.52,732535,29480.33,685306,27331.34,639770,21010.11,707249,23832.95,1167425,36430.72
1000400014,"48 Wall St, New York, NY 10005",259055,313918,0.825,SC9 Rate I (Standard),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1490069,84861.55,1300057,74040.1,803070,45735.98,135339,7707.75,364,20.73,0,,549,31.27,468,26.65,80,4.56,92615,5274.56,496889,28298.54,966358,55035.46,931224,30736.64,851383,29499.92,939417,29354.05,887338,28020.6,878481,29557.08,958829,37115.68,1115938,43503.4,1088406,43558.47,958624,38031.78,918681,29950.94,848912,28506.28,836496,26245.89
1000420031,"80 Maiden Lane, New York, NY 10038",429598.1875,527605,0.814,SC9 Rate I (Standard),177880,3679.87,166590,3448.43,186471,3855.99,202566,4185.94,215047,4441.8,201948,4173.27,189599,3920.11,200605,4145.74,195174,4034.4,212018,4379.7,205717,4250.53,198359,4099.69,996639,56760.01,864811,49252.22,432801,24648.63,53092,3023.66,2018,114.93,64,3.64,39,2.22,0,,2077,118.29,4990,284.19,155233,8840.74,477908,27217.54,974106,32128.94,880895,30505.11,983654,30712.71,863958,27295.51,947477,31839.11,1093088,42242.54,1244385,48453.01,1247870,49866.81,1056237,41853.35,946509,30843,971651,32555.32,1009421,31567.91
1000430001,"44 Wall St, New York, NY 10005",289049,289049,1,SC9 Rate I (Standard),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,818566,46618.5,763995,43510.6,654853,37294.81,436568,24863.17,272855,15539.48,109142,6215.79,54571,3107.9,54571,3107.9,109142,6215.79,327426,18647.38,654853,37294.81,1200563,68373.77,624668,20783.32,587200,20501.75,670860,21105.79,622039,19792.86,672271,22736.73,778026,30211.47,888108,34724.13,945002,37885.45,771617,30710.43,639169,20990.84,579362,19614.09,580856,18378.19
